edition,book,letter,date,location,location_lat,location_long,location_count,topo_id,topo_count
phi0474.phi056.perseus-lat1,1,1,698,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,1,2,698,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,1,3,698,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,1,4,698,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,1,5a,698,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,1,5b,698,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,1,6,698,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,1,7,698,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,1,8,699,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,1,9,700,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,1,10,700,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,2,1,701,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,2,2,701,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,2,3,701,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,2,4,701,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,2,5,701,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,2,6,701,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,2,7,703,Pindenessus,36.75,36.33,1,10,4
phi0474.phi056.perseus-lat1,2,8,703,Athens,37.98,23.73,8,20,8
phi0474.phi056.perseus-lat1,2,9,703,Pindenissus,36.75,36.33,2,10,4
phi0474.phi056.perseus-lat1,2,10,703,Pindenissus,36.75,36.33,2,10,4
phi0474.phi056.perseus-lat1,2,11,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,2,12,704,,,,91,,0
phi0474.phi056.perseus-lat1,2,13,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,2,14,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,2,15,704,Sidae,38.9,22.53,2,29,6
phi0474.phi056.perseus-lat1,2,16,705,,,,91,,0
phi0474.phi056.perseus-lat1,2,17,704,Tarsium,,,5,,0
phi0474.phi056.perseus-lat1,2,18,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,2,19,704,,,,91,,0
phi0474.phi056.perseus-lat1,3,1,701,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,3,2,703,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,3,3,703,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,3,4,703,Brundisium,40.638663,17.942912,19,37,27
phi0474.phi056.perseus-lat1,3,5,703,,,,91,,0
phi0474.phi056.perseus-lat1,3,6,703,,,,91,,0
phi0474.phi056.perseus-lat1,3,7,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,3,8,703,Mopsuhestia,36.57,35.37,1,10,4
phi0474.phi056.perseus-lat1,3,9,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,3,10,704,Laudicea,37.5,29.06,14,38,15
phi0474.phi056.perseus-lat1,3,11,704,Pyramus,,,1,,0
phi0474.phi056.perseus-lat1,3,12,704,Sidae,38.9,22.53,2,29,6
phi0474.phi056.perseus-lat1,3,13,704,Rhodium,36.1,27.56,1,,0
phi0474.phi056.perseus-lat1,4,1,705,Cicerons,,,1,,0
phi0474.phi056.perseus-lat1,4,2,705,,,,91,,0
phi0474.phi056.perseus-lat1,4,3,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,4,4,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,4,5,709,Athens,37.98,23.73,8,20,8
phi0474.phi056.perseus-lat1,4,6,709,Attici Ficuleano house,,,3,,0
phi0474.phi056.perseus-lat1,4,7,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,4,8,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,4,9,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,4,10,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,4,11,708,Mytilens,39.6,26.33,1,38,15
phi0474.phi056.perseus-lat1,4,12,709,Athens,37.98,23.73,8,20,8
phi0474.phi056.perseus-lat1,4,13,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,4,14,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,4,15,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,5,1,692,,,,91,,0
phi0474.phi056.perseus-lat1,5,2,692,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,5,3,698,,,,91,,0
phi0474.phi056.perseus-lat1,5,4,697,Dyrrhachium,41.314409,19.447355,4,,0
phi0474.phi056.perseus-lat1,5,5,692,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,5,6,692,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,5,7,692,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,5,8,700,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,5,9,709,Narona,43.063722,17.613419,3,,0
phi0474.phi056.perseus-lat1,5,10a,710,Narona,43.063722,17.613419,3,,0
phi0474.phi056.perseus-lat1,5,10b,709,Narona,43.063722,17.613419,3,,0
phi0474.phi056.perseus-lat1,5,11,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,5,12,698,,,,91,,0
phi0474.phi056.perseus-lat1,5,13,709,Astura,41.408855,12.765272,6,37,27
phi0474.phi056.perseus-lat1,5,14,709,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,5,15,709,Astura,41.408855,12.765272,6,37,27
phi0474.phi056.perseus-lat1,5,16,702,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,5,17,697,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,5,18,752,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,5,19,705,,,,91,,0
phi0474.phi056.perseus-lat1,5,20,705,,,,91,,0
phi0474.phi056.perseus-lat1,5,21,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,1,708,Roma,41.53,12.3,231,,0
phi0474.phi056.perseus-lat1,6,2,709,Attici Ficuleano house,,,3,,0
